name,city,address,links,lat_long,wifi_qualitity,seating_comfort,ambiance,food_content,open_hours,preview_image
Copper Bay Superfood and Coffee,Frankfurt am Main,"Sonnemannstraße 53, 60314 Frankfurt am Main, Germany","Website: https://www.copper-bay.com  Facebook: https://el-gr.facebook.com/copperbaycoffee/  Instagram: https://www.instagram.com/copperbayffm/p/C9EccyDot0i/  Facebook (alternative): https://www.facebook.com/copperbaycoffee/  (Note: Facebook links might be temporarily inaccessible and Instagram links direct to a post, not the main page.)","110924, 8.682127",Excellent,Comfortable,Lively,"Copper Bay Superfood & Coffee in Frankfurt am Main offers a diverse array of healthy and flavorful food and drink options. The menu emphasizes vegetarian and vegan dishes, with categories like Vitamin Wellness Bowls and Protein Power Bowls, offering dishes such as pasta bowls, salads, wraps, toasts, and pancakes with various toppings 27. The drinks menu includes a wide selection of coffees, teas, fresh juices, smoothies, and iced beverages, with the matcha tea being particularly praised 4. Despite some comments about ingredient sourcing, the food quality is largely appreciated for its taste and presentation.","Monday - Friday: 8:30 AM - 4:30 PM 456  Saturday: 9:00 AM - 5:00 PM or 7:00 PM (discrepancy in sources) 468  Sunday: 10:00 AM - 5:00 PM or 6:00 PM (discrepancy in sources) 468Note: The kitchen closes earlier than the cafe, at 3:00 PM. The cafe is closed from December 24th to January 1st. Hours may vary during holidays.",
BEEHIVE Frankfurt,Frankfurt am Main,"Mainzer Landstraße 33a, 60329 Frankfurt am Main, Germany",Website: https://www.beehive.work/en/  Instagram: https://www.instagram.com/beehive.work/2.jycg&hl=en)  Yelp: https://www.yelp.com/biz/beehive-frankfurt-city-frankfurt-am-main  CoworkingCafe: https://www.coworkingcafe.com/coworking-property/de/he/frankfurt-am-main/mainzer-landstrasse-33a/4  Workin.space: https://workin.space/en/coworking/germany/hesse/frankfurt/beehive-frankfurt-city6  ShareSpace: https://www.sharespace.work/en/coworking/germany/frankfurt/bahnhofsviertel/beehive-mainzer-landstr-33a7  OneCoworking: https://www.onecoworking.com/venues/beehive-frankfurt-city9  Workthere: https://www.workthere.com/spaces/mainzer-landstr-33a/13,"110924, 8.682127",Good,Slightly Uncomfortable,Quiet and Cozy,"Beehive Frankfurt City, situated at Mainzer Landstraße 33a, provides complimentary coffee and tea along with a kitchenette featuring a high-tech coffee machine and refrigerator 57. While the in-house options are limited, the quality of the beverages is generally appreciated; however, some reviews mention issues with water quality 10. The location’s proximity to the central station and Bahnhofsviertel district offers a broad range of dining options nearby, from casual to upscale, though no specific eateries are highlighted 1112.","Monday to Friday: 8:30 AM - 7:00 PM 6 (Day Passes and Meeting Rooms)Alternative hours:  Monday to Friday: 8:00 AM - 6:00 PM 7 (Day Passes and Meeting Rooms)Closed on weekends (for non-members)24/7 access for members 3Note: Hours can vary depending on member access, staffing, and booking services. It is advisable to verify with Beehive directly for specific requirements.",
WeWork,Frankfurt am Main,"Taunusanlage 8, 60329 Frankfurt am Main, Germany",Website: https://www.wework.com/de-DE/buildings/taunusanlage-8--frankfurt?utm_source=Google&utm_campaign=Organic&utm_medium=Listings  Instagram (post): https://www.instagram.com/wework/p/B2CLGjcF6kA/?utm_source=ig_embed&utm_campaign=loading  CoworkingCafe Listing: https://www.coworkingcafe.com/coworking-property/de/he/frankfurt/taunusanlage-8-2/  Workin.space Listing: https://workin.space/en/coworking/germany/hesse/frankfurt/wework-taunusanlage-8  Office Hub Listing: https://www.office-hub.com/de/properties/8-taunusanlage-frankfurt-frankfurt-a0v3m00000Oq3wxAAB  Work Mobile Listing: https://workmobile.today/properties/wework-taunusanlage-8/  Instant Offices Listing: https://www.instantoffices.com/en/de/available-office-space/frankfurt/taunusanlage-37274  ShareSpace Listing: https://www.sharespace.work/en/coworking/germany/frankfurt/innenstadt-i/wework-taunusanlage  Micobo GmbH (mentions WeWork at this address): https://micobo.com/imprint/,"111960, 8.669380",Good,Comfortable,Quiet and Cozy,"WeWork Taunusanlage 8 in Frankfurt offers several appealing food and beverage options for its members. Complimentary micro-roasted coffee and tea are standard amenities, with an on-site barista to prepare a variety of coffee drinks. The location also features fully stocked kitchens with equipment such as refrigerators, microwaves, and dishwashers, which allow members to prepare meals comfortably. Additionally, members have access to complimentary filtered water, seltzers, and occasionally snacks, although availability may vary by location. Located in a lively neighborhood, the building is surrounded by a variety of restaurants and cafes, offering a wide range of dining options within walking distance 145.",Opening hours not found.,
Barista Sistar,Munich,"Deisenhofener Str. 40, 81539 München, Germany","Website: http://www.baristasistar.com/  Instagram: https://www.instagram.com/baristasistar/Currently, there are no confirmed links for Facebook or Twitter for Barista Sistar based on the information available.","1133, 11.5851",Unknown,Comfortable,Quiet and Cozy,"Barista Sistar in München bietet eine breite Palette hochwertiger Speisen und Getränke. Das Café ist bekannt für handgemachte Kuchen, Sandwiches und Köstlichkeiten 12. Beliebte Getränke wie Espresso macchiatos, Cappuccino und Matcha-Lattes werden häufig von Kunden erwähnt 2. Neben Kaffee gibt es eine gute Auswahl an Tee und saisonalen Getränken 8. Das Speiseangebot umfasst auch herzhafte Mittagessen wie Thai-Hühnchen-Curry und Avocado-Toast 2. Glutenfreie und vegane Optionen decken diverse diätetische Bedürfnisse ab, wobei ein veganer, glutenfreier Schokoladenkuchen besonders hervorgehoben wird 9. Geburtstagskuchen sind ebenfalls verfügbar 12. Die Preise sind im mittleren Segment angesiedelt, mit gelegentlich teureren Artikeln, deren Qualität dies jedoch oft rechtfertigt 6.",Monday - Friday: 7:30 AM - 5:00 PM  Saturday: 9:30 AM - 5:00 PM  Sunday: ClosedNote: One source mentions Saturdays closing at 6:00 PM. Confirm with the cafe for up-to-date hours 17.,
Kaffeemacherei,Frankfurt am Main,"Bornwiesenweg 4, 60322 Frankfurt am Main, Germany","Website: http://www.die-kaffeemacherei.de/Instagram: https://www.instagram.com/kaffeemacherei/Facebook: https://www.facebook.com/kaffeemacherei/ [Note: This link may not be entirely accurate, as it leads to a general Facebook profile page rather than a dedicated business page.]","12408, 8.686374",Good,Comfortable,Quiet and Cozy,"Kaffeemacherei in Frankfurt am Main bietet eine beeindruckende Auswahl an veganen Speisen und Getränken. Neben ausgezeichnetem Kaffee, der als einer der besten Frankfurts gelobt wird, können Besucher köstliche Optionen wie ein Raffaeollo-Kokoskuchen, vegane Kuchen, Kichererbsenomeletts mit Gemüse, Tofu-Rührungen, Croissants mit hausgemachter Marmelade, Acai-Bowls und Waffeln genießen 156. Bewertungen loben die überraschende Qualität und Vielfalt der veganen Kuchen, während einige die Qualität des Essens als variabel beschreiben. Darüber hinaus bietet das Café eine Auswahl an Heißgetränken und Chai-Tees, mit einem Flat White für €4,20 5. Allgemein bietet die Kaffeemacherei eine ansprechende Mischung aus hochwertigen Kaffees und leckeren veganen Speisen, wenngleich es unterschiedliche Meinungen zur Nahrungsqualität gibt.",Monday: 8:30 AM - 6:00 PM  Tuesday: Closed  Wednesday: 8:30 AM - 6:00 PM  Thursday: 8:30 AM - 6:00 PM  Friday: 8:30 AM - 11:00 PM  Saturday: 10:00 AM - 6:00 PM  Sunday: 10:00 AM - 6:00 PM  Note: There are discrepancies in the sources regarding Tuesday's opening hours and Friday's closing time; consider confirming directly with Kaffeemacherei for accuracy.,
Hoppenworth & Ploch Nordend,Frankfurt am Main,"Friedberger Landstraße 86, 60316 Frankfurt am Main, Germany",Website: http://hoppenworth-ploch.de/Website (English): https://hoppenworth-ploch.de/enInstagram: https://www.instagram.com/hoppenworthundploch/?hl=enFacebook: https://www.facebook.com/hoppenworthundploch/,"1248079, 8.6920698",Average,Comfortable,Lively,"Hoppenworth & Ploch Nordend in Frankfurt am Main zeichnet sich durch eine beeindruckende Vielfalt und hohe Qualität an Speisen und Getränken aus. Besonders lobenswert ist der Kaffee, der vor Ort frisch geröstet wird und in verschiedenen Espressovariationen, darunter klassische und fruchtigere Alternativen, angeboten wird. Zusätzlich gibt es täglich wechselnde, hand­ge­filter­te Kaffeespezialitäten. Bekannt ist das Café auch für seine Auswahl an Backwaren, darunter veganer Kuchen. Ausgesprochen beliebt sind Matcha-Käsekuchen, Schokoladen-Erdnuss-Kuchen sowie Croissants. Während die Qualität der Angebote oft gelobt wird, variiert der Service laut Kundenbewertungen, was jedoch die Qualität der Speisen und Getränke nicht schmälert.","Monday - Friday: 8:00 AM - 7:00 PM 2  Saturday - Sunday: 9:00 AM - 7:00 PM 2  Holidays: 9:00 AM - 7:00 PM 2Note: It's recommended to check their website or contact the cafe directly for the most up-to-date information, as hours may vary during holidays or special events.",
Coffeemamas Café,Munich,"Lindwurmstraße 46, 80337 München, Germany",Website: http://www.coffeemamas.de/Instagram: https://www.instagram.com/explore/locations/244320294/coffeemamas/Yelp: https://www.yelp.com/biz/coffeemamas-caf%C3%A9-m%C3%BCnchenRestaurant Guru: https://restaurantguru.com/Coffeemamas-MunichFoursquare: https://redirect.foursquare.com/v/coffeemamas/506ee936e4b0a368e7811b2dTripAdvisor: https://www.tripadvisor.com/Restaurant_Review-g187309-d10673011-Reviews-Coffeemamas_Kaffeerosterei-Munich_Upper_Bavaria_Bavaria.htmlCityseeker: https://cityseeker.com/munich/1204577-coffeemamas-cafeWanderlog: https://wanderlog.com/place/details/3390183/coffeemamas-caf%C3%A9Roester Guide: https://roester-guide.de/coffeemamas-kaffeeroesterei/Laptop Friendly Cafe: https://laptopfriendlycafe.com/cafes/munich/coffeemamas-cafe,"127900, 11.554400",Good,Comfortable,Quiet and Cozy,"Coffeemamas Café in Munich bietet eine abwechslungsreiche Speise- und Getränkekarte. Zu den beliebten Speisen gehören Bagels, insbesondere der ""Mountain Cheese Bagel"", Croissants und Sandwiches, die als besonders lecker beschrieben werden. Bagels erhalten überwiegend positives Feedback, während Scones gemischte Bewertungen erhalten. Zusätzlich gibt es Optionen wie ""Power Müsli"" und ein DIY-Brunchangebot.Die Getränkeauswahl wird von Kaffee dominiert, der sowohl wegen der hauseigenen Röstung als auch für seine Qualität gelobt wird. Zu den angebotenen Kaffeespezialitäten zählen Café Latte, Cappuccino, und Cinnamon Caffe Latte. Iced Coffee, Tees, heiße Schokolade und frisch gepresster Orangensaft runden das Angebot ab. Trotz überwiegend positiver Rückmeldungen gibt es vereinzelte Kritik an einem enttäuschenden Cappuccino. Die Preise werden als fair angesehen, wenngleich manche sie leicht überdurchschnittlich finden.",Monday: 7:00 AM - 8:00 PM  Tuesday: 7:00 AM - 8:00 PM  Wednesday: 7:00 AM - 8:00 PM  Thursday: 7:00 AM - 8:00 PM  Friday: 7:00 AM - 8:00 PM  Saturday: 9:00 AM - 6:00 PM  Sunday: Closed  Note: Hours can vary during holidays. Consider checking coffeemamas.de for the most accurate timings.,
Rosi Coffee & Bar,Munich,"Rosenheimer Str. 2, 81669 München, Germany",Website: https://www.rosi-muenchen.de/ 1Instagram: https://www.instagram.com/rosikaffeehaus/ 2Tripadvisor: https://www.tripadvisor.com/Restaurant_Review-g187309-d12334125-Reviews-Rosi_Kaffeehaus_und_Bar-Munich_Upper_Bavaria_Bavaria.html 3Falstaff: https://www.falstaff.com/en/cafes/rosi-kaffeehaus-bar 4Wanderlog: https://wanderlog.com/place/details/542759/rosi-coffee--bar 5Trip.com: https://my.trip.com/moments/detail/munich-572-121716792?locale=en-MY 6Cityseeker: https://cityseeker.com/munich/1204583-rosi-kaffeehaus-und-bar 7TrustTheCrowd: https://trustthecrowd.com/food/de/munich/rosi-coffee-bar-61827 8Yelp: https://www.yelp.com/biz/rosi-m%C3%BCnchen 10TheFork: https://www.thefork.com/restaurant/rosi-kaffeehaus-und-bar-r748533 11,"131443, 11.588072",Unknown,Comfortable,Lively,"Rosi Kaffeehaus und Bar in München bietet eine umfangreiche Auswahl an Speisen und Getränken. Die Menüvielfalt reicht von Frühstück, das regional spezifische Optionen wie American, Boarisch und Griechisch umfasst, über Mittag- und Abendessen mit verschiedenen Salaten, Pasta, Veganer- und Vegetarier-Optionen bis hin zu Schnitzeln und Fischgerichten. Der Dessertbereich bietet unter anderem Kaiserschmarrn und vegane Mousse au Chocolat. Getränke sind ebenso vielfältig, mit einer breiten Auswahl an Kaffeespezialitäten, Tees, frisch gepressten Säften, Smoothies, sowie alkoholischen und nicht-alkoholischen Cocktails. Die Qualität der Speisen wird weitgehend positiv bewertet, mit Lob für die Frische der Zutaten, auch wenn gelegentlich inkonsistente Bewertungen zu bestimmten Gerichten erwähnt werden 1 4.","Monday: 8:00 AM - 1:00 AM  Tuesday: 8:00 AM - 1:00 AM  Wednesday: 8:00 AM - 1:00 AM  Thursday: 8:00 AM - 1:00 AM  Friday: 8:00 AM - 3:00 AM  Saturday: 8:00 AM - 3:00 AM  Sunday: 9:00 AM - 12:00 AM (midnight)  Seasonal Variations: The rooftop garden bar operates from 8:00 AM to 5:00 PM (self-service) and 5:00 PM to 10:00 PM (full bar service) from Easter to October, weather permitting 8. Hours may vary during holidays.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a1/1a/cd/aussenansicht.jpg?w=900&h=500&s=1
Vits Kaffee GmbH & Co.KG,Munich,"Rumfordstraße 49, 80469 München, Germany",Website: https://vits.coffee/Facebook: https://www.facebook.com/VitsDerKaffee/Instagram: https://www.instagram.com/vitskaffee/Twitter: https://twitter.com/vitskaffee,"13384360000001, 11.5818539",Average,Comfortable,Quiet and Cozy,"Vits Kaffee GmbH & Co.KG in Munich begeistert mit einer vielfältigen Auswahl an hochwertigen Speisen und Getränken. Der Fokus liegt auf erstklassigem Kaffee, der in einer hauseigenen Rösterei täglich frisch geröstet wird. Die Getränkekarte reicht von klassischen Espresso-Getränken wie Lattes und Cappuccinos bis zu speziellen Brühmethoden wie V60-Pour-Over und Batch-Brews, begleitet von robusten und starken Geschmacksprofilen. Neben Kaffee bietet das Café eine beachtliche Teeauswahl 47.Auf der Speisekarte finden sich nicht nur einfache Backwaren, sondern auch traditionelle deutsche Kuchen wie der beliebte Käsekuchen sowie herzhafte Optionen wie Pretzel-Croissant-Sandwiches und Bagels mit verschiedenen Belägen. Obwohl das Menü als umfangreich beschrieben wird, was möglicherweise zu langsamem Service führen kann, bleibt das Café bei Gästen wegen der hohen Lebensmittelqualität und der kreativen Speisen beliebt 79.",Monday - Friday: 10:00 AM - 7:00 PM  Saturday: 10:00 AM - 6:00 PM  Sunday: ClosedNote: Variations in reported hours may exist. It's recommended to verify with Vits Kaffee directly for up-to-date hours.,
Café Wiener Platz,Munich,"Innere Wiener Straße 48, 81667 München, Germany","Website: http://www.cafewienerplatz.de/TripAdvisor: https://www.tripadvisor.com/Restaurant_Review-g187309-d2367786-Reviews-Cafe_Wiener_Platz-Munich_Upper_Bavaria_Bavaria.htmlCityseeker: https://cityseeker.com/munich/1026773-caf%C3%A9-wiener-platzFalstaff: https://www.falstaff.com/en/cafes/cafe-wiener-platzMunich4you: https://www.munich4you.net/web/directory/going-out/cafe/9123-cafe-wiener-platz-gaststaettenbetriebs-gmbh.htmlYelp: https://www.yelp.com/biz/caf%C3%A9-wiener-platz-m%C3%BCnchen-3LinkedIn: https://www.linkedin.com/company/cafe-wiener-platzInstagram: While access to the Instagram account @cafeamwienerplatz was restricted and could not be verified, it may exist with this handle. Facebook, Twitter: No verified links found.","134014, 11.596435",Unknown,Comfortable,Lively,"Café Wiener Platz in Munich bietet eine vielfältige Auswahl an internationalen Speisen, die besonders auf Frühstücksoptionen fokussiert sind. Die Speisekarte umfasst Omeletts, Salate, Nudelgerichte, Lachs und Chicken Schnitzel, sowie Bagels, Pfannkuchen und Desserts wie Lava-Kuchen. Vegetarische und vegane Optionen sind ebenso erhältlich. Die Getränkekarte ist umfangreich und umfasst Bier, Espresso, Cappuccino, Weinschorlen, Cocktails und eine breite Auswahl an Kaffeespezialitäten. Während einige Gäste die Gerichte als ""köstlich"" bezeichnen, gibt es auch Berichte über inkonsistente Qualität und Präsentation, was das kulinarische Erlebnis variabel erscheinen lässt.","Monday: 8:00 AM - 1:00 AM  Tuesday: 8:00 AM - 1:00 AM  Wednesday: 8:00 AM - 1:00 AM  Thursday: 8:00 AM - 1:00 AM  Friday: 8:00 AM - 1:00 AM  Saturday: 8:00 AM - 1:00 AM  Sunday: 8:00 AM - 1:00 AM  Note: Hours may vary during holidays. Discrepancies in closing times exist, but the majority indicate a 1:00 AM closing. The café was previously noted as temporarily closed due to COVID-19, but this information is outdated. 257",
