name,city,city_slug,address,links,comments
Dritan Alsela Kaffee,Düsseldorf,düsseldorf,"Schlüterstraße 3A, 40235 Düsseldorf","",""
TENTEN Kaffee,Düsseldorf,düsseldorf,"Oststraße 57, 40210 Düsseldorf","",""
Birdie & Co. - Marc-Chagall-Straße,Düsseldorf,düsseldorf,"Marc-Chagall-Straße 108, 40477 Düsseldorf","",""
Birdie & Co. - Bagelstraße,Düsseldorf,düsseldorf,"Bagelstraße 130, 40479 Düsseldorf","",""
Birdie & Co. - Mittelstraße,Düsseldorf,düsseldorf,"Mittelstraße 6, 40213 Düsseldorf","",""
Birdie & Co. - Kaiserswerther Str.,Düsseldorf,düsseldorf,"Kaiserswerther Str. 228, 40474 Düsseldorf","",""
Birdie & Co. - Königsallee,Düsseldorf,düsseldorf,"Königsallee 96, 40212 Düsseldorf","",""
Kaffeehandwerk,Düsseldorf,düsseldorf,"Ackerstraße 175, 40233 Düsseldorf","",""
Café Hüftgold,Düsseldorf,düsseldorf,"Ackerstraße 113, 40233 Düsseldorf","",""
Weird Space Café Friedrichstadt,Düsseldorf,düsseldorf,"Hüttenstraße 76, 40215 Düsseldorf","",""
Weird Space Café Unterbilk,Düsseldorf,düsseldorf,"Volmerswerther Str. 53, 40221 Düsseldorf","",""
Café Remé,Düsseldorf,düsseldorf,"Kronprinzenstraße 97, 40217 Düsseldorf","",""
Greger Café,Düsseldorf,düsseldorf,"Erftstraße 1, 40219 Düsseldorf","",""
MERCY coffee company - Flingern,Düsseldorf,düsseldorf,"Birkenstraße 73, 40233 Düsseldorf","",""
MERCY coffee company- Unterbilk,Düsseldorf,düsseldorf,"Neusser Str. 121, 40219 Düsseldorf","",""
Stoak,Düsseldorf,düsseldorf,"Aderstraße 48, 40215 Düsseldorf","",""
NIO House,Düsseldorf,düsseldorf,"Joachim-Erwin-Platz 3, 40212 Düsseldorf","",""
KYTO Coffee,Düsseldorf,düsseldorf,"Am Wehrhahn 42, Immermannstraße 65B, Düsseldorf","",""
Lynk & Co,Düsseldorf,düsseldorf,"Kaiserswerther Str. 13, 40212 Düsseldorf","",""
Lina’s Coffee Brew Bar & Deli,Düsseldorf,düsseldorf,"Fürstenplatz 1, 40215 Düsseldorf","",""
Copenhagen Coffee Lab Carlsplatz,Düsseldorf,düsseldorf,"Carlsplatz 20-21, 40213 Düsseldorf, Germany","","multiple locations bulk upload"
Xafé im KAP1 Bibliothekscafé,Düsseldorf,düsseldorf,"Konrad-Adenauer-Platz 1, 40210 Düsseldorf","",""
TenTen,Düsseldorf,düsseldorf,"Oststraße 57, 40210 Düsseldorf","",""
Velvet,Düsseldorf,düsseldorf,"Stresemannstraße 8, 40210 Düsseldorf","",""
