name,city,city_slug,address,comments
Café Koer,Würzburg,wuerzburg,"Karmelitenstraße 1, 97070 Würzburg"
Café Senza Limiti,Würzburg,wuerzburg,"Karmelitenstraße 1, 97070 Würzburg"
Das Casa,Würzburg,wuerzburg,"Karmelitenstraße 1, 97070 Würzburg"
Uni Café,Würzburg,wuerzburg,"Neubaustraße 15, 97070 Würzburg"
Café Wunschlos Glücklich,Würzburg,wuerzburg,"Karmelitenstraße 1, 97070 Würzburg"
Café Cool Bits,Fürth,fuerth,"Kaiserstraße 1, 90762 Fürth"
Café am Park,Fürth,fuerth,"Konrad-Adenauer-Anlage 1, 90762 Fürth"
Stubenhocker,Fürth,fuerth,"Gustavstraße 40, 90762 Fürth"
Café Portier,Fürth,fuerth,"Kaiserstraße 1, 90762 Fürth"
Café Wunschlos Glücklich,Fürth,fuerth,"Kaiserstraße 1, 90762 Fürth"
Café Krümelchen,Fürth,fuerth,"Kaiserstraße 1, 90762 Fürth"
Café Seasons,Fürth,fuerth,"Gustav-Weißkopf-Straße 7, 90765 Fürth"
Café Caritasse,Fürth,fuerth,"Königstraße 112-114, 90762 Fürth"
Café am Milchberg,Augsburg,augsburg,"Milchberg 1, 86150 Augsburg"
Café Euringer,Augsburg,augsburg,"Maxstraße 1, 86150 Augsburg"
Café Cosmos Heart,Augsburg,augsburg,"Maxstraße 1, 86150 Augsburg"
Café Il Vicolo,Augsburg,augsburg,"Maxstraße 1, 86150 Augsburg"
Café MAK Afrika,Augsburg,augsburg,"Maxstraße 1, 86150 Augsburg"
Café Dichtl,Augsburg,augsburg,"Maxstraße 1, 86150 Augsburg"
Café Thalia,Augsburg,augsburg,"Annastr. 21-23, 86150 Augsburg"
Café Himmelgrün,Augsburg,augsburg,"Königsplatz 1, 86150 Augsburg"
Café am Bohlenplatz,Erlangen,erlangen,"Obere Karlstraße 29, 91054 Erlangen"
Café Mengin,Erlangen,erlangen,"Hauptstraße 1, 91054 Erlangen"
Café am Milchberg,Erlangen,erlangen,"Milchberg 1, 91054 Erlangen"
Café Euringer,Erlangen,erlangen,"Maxstraße 1, 91054 Erlangen"
Café Cosmos Heart,Erlangen,erlangen,"Maxstraße 1, 91054 Erlangen"
Café Il Vicolo,Erlangen,erlangen,"Maxstraße 1, 91054 Erlangen"
Café MAK Afrika,Erlangen,erlangen,"Maxstraße 1, 91054 Erlangen"
Café Dichtl,Erlangen,erlangen,"Maxstraße 1, 91054 Erlangen"
Café Thalia,Erlangen,erlangen,"Annastr. 21-23, 91054 Erlangen"
Café Himmelgrün,Erlangen,erlangen,"Königsplatz 1, 91054 Erlangen"
Café Zuckerstück,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café am Dom,Bamberg,bamberg,"Domplatz 8, 96049 Bamberg"
Café Müller,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Leander,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Esspress,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Cador,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Riffelmacher,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Marle,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Zimmer,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
Café Krumm & Schief,Bamberg,bamberg,"Ob. Sandstraße 4, 96049 Bamberg"
