name,city,city_slug,address,comments
Café Fingerlos,Salzburg,salzburg,"Linzergasse 39, 5020 Salzburg"
220° Café Nonntal,Salzburg,salzburg,"Nonntaler Hauptstraße 220, 5020 Salzburg"
Afro Café,Salzburg,salzburg,"Giselakai 3, 5020 Salzburg"
Coffee Press,Salzburg,salzburg,"Kaiser-Josef-Platz 1, 5020 Salzburg"
Café Tomaselli,Salzburg,salzburg,"Alter Markt 9, 5020 Salzburg"
Café Bazar,Salzburg,salzburg,"Schwimmschulstraße 1, 5020 Salzburg"
Kaffee-Alchemie,Salzburg,salzburg,"Schallmooser Hauptstraße 1, 5020 Salzburg"
Café Eulenspiegel,Salzburg,salzburg,"Getreidegasse 39, 5020 Salzburg"
Café Gehmacher,Salzburg,salzburg,"Judengasse 7, 5020 Salzburg"
Café Sacher Salzburg,Salzburg,salzburg,"Schloss Mirabell, Aignerstraße 3, 5020 Salzburg"
das café,Wien,wien,"Burggasse 10, 1070 Wien"
Café Freud,Wien,wien,"Berggasse 17, 1090 Wien"
CoffeePirates Vienna,Wien,wien,"Spitalgasse 17, 1090 Wien"
Café Schopenhauer,Wien,wien,"Staudgasse 1, 1180 Wien"
Café Caspar,Wien,wien,"Grillparzerstraße 6, 1010 Wien"
J. Hornig Kaffeebar,Wien,wien,"Siebensterngasse 29, 1070 Wien"
The Guesthouse Brasserie & Bakery,Wien,wien,"Führichgasse 10, 1010 Wien"
Café Telegraph,Wien,wien,"Garnisongasse 7, 1090 Wien"
Café Jelinek,Wien,wien,"Josefstädter Str. 9, 1080 Wien"
Café Drechsler,Wien,wien,"Karlsplatz 6, 1010 Wien"
